0.00001 0.00001 0.00001 0.00000 0.00000
0.00033 0.00030 0.00026 0.00023 0.00020
0.00088 0.00089 0.00089 0.00089 0.00089
0.00019 0.00022 0.00025 0.00028 0.00031
0.00000 0.00000 0.00001 0.00001 0.00001
0.00043 0.00034 0.00026 0.00021 0.00016
0.01411 0.01259 0.01116 0.00983 0.00861
0.03747 0.03788 0.03805 0.03799 0.03770
0.00804 0.00921 0.01048 0.01186 0.01334
0.00014 0.00018 0.00023 0.00030 0.00038
0.00150 0.00118 0.00092 0.00072 0.00055
0.04926 0.04394 0.03896 0.03433 0.03006
0.13080 0.13221 0.13282 0.13262 0.13160
0.02807 0.03215 0.03660 0.04140 0.04656
0.00049 0.00063 0.00081 0.00104 0.00133
0.00043 0.00034 0.00026 0.00021 0.00016
0.01411 0.01259 0.01116 0.00983 0.00861
0.03747 0.03788 0.03805 0.03799 0.03770
0.00804 0.00921 0.01048 0.01186 0.01334
0.00014 0.00018 0.00023 0.00030 0.00038
0.00001 0.00001 0.00001 0.00000 0.00000
0.00033 0.00030 0.00026 0.00023 0.00020
0.00088 0.00089 0.00089 0.00089 0.00089
0.00019 0.00022 0.00025 0.00028 0.00031
0.00000 0.00000 0.00001 0.00001 0.00001
